Versicherer;Land;Hoheitsgebiet;Geschäftsjahr;Erhebungsjahr;Region;Altersklasse;Altersuntergruppe;Unfalleinschluss;Prämie
8;EU AT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;145.2
8;EU AT;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;135
8;EU AT;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;495
8;EU AT;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;460.4
8;EU AT;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;660
8;EU AT;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;613.8
8;EU BE;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;154
8;EU BE;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;143.2
8;EU BE;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;525
8;EU BE;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;488.3
8;EU BE;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;700
8;EU BE;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;651
8;EU BG;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;36.3
8;EU BG;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;33.8
8;EU BG;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;123.8
8;EU BG;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;115.1
8;EU BG;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;165
8;EU BG;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;153.5
8;EU CY;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;36.3
8;EU CY;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;33.8
8;EU CY;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;123.8
8;EU CY;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;115.1
8;EU CY;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;165
8;EU CY;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;153.5
8;EU CZ;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;52.8
8;EU CZ;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;49.1
8;EU CZ;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;180
8;EU CZ;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;167.4
8;EU CZ;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;240
8;EU CZ;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;223.2
8;EU DE;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;266.2
8;EU DE;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;247.6
8;EU DE;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;907.5
8;EU DE;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;844
8;EU DE;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;1210
8;EU DE;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;1125.3
8;EU DK;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;MIT-UNF;96.8
8;EU DK;EU;2020;2019;PR-REG EU0;AKL-KIN;K1;OHN-UNF;90
8;EU DK;EU;2020;2019;PR-REG EU0;AKL-JUG;;MIT-UNF;330
8;EU DK;EU;2020;2019;PR-REG EU0;AKL-JUG;;OHN-UNF;306.9
8;EU DK;EU;2020;2019;PR-REG EU0;AKL-ERW;;MIT-UNF;440
8;EU DK;EU;2020;2019;PR-REG EU0;AKL-ERW;;OHN-UNF;409.2
